2020-05-17 19:03:33 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:33 [Thread-6] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=6, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=30} got terminal Terminal{isBusy=true, id=5}
2020-05-17 19:03:33 [Thread-8] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} stays in the queue
2020-05-17 19:03:33 [Thread-9] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=9, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=50} stays in the queue
2020-05-17 19:03:33 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:33 [Thread-5] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 4
2020-05-17 19:03:33 [Thread-2] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=2, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} was unloaded on terminal with id 1
2020-05-17 19:03:33 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:33 [Thread-12] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=12, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=30} stays in the queue
2020-05-17 19:03:34 [Thread-6] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=6, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} was unloaded on terminal with id 5
2020-05-17 19:03:34 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
